designation,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_min_au,miss_distance_mean_au,relative_velocity_max_kms,n_close_approaches,is_potentially_hazardous_asteroid
513165,513165 (2004 CK39),19.03,0.4154846434,0.9290519063,0.0490523682,0.101750667525,33.2406294285,8,0
513170,513170 (2004 KH15),20.18,0.2446554962,0.5470663205,0.1058594477,0.2912130814169494,24.5649212154,118,0
513572,513572 (2010 VX39),19.24,0.3771854893,0.8434123941,0.2907961368,0.3822652683833334,19.4185261308,18,0
510190,510190 (2011 CX7),20.43,0.2180494405,0.4875733714,0.1124449474,0.1440394815,12.5824938035,24,0
510262,510262 (2011 HJ61),19.2,0.3841978911,0.8590926012,0.1250442246,0.27808360668787874,23.1020527312,33,0
510529,510529 (2012 EY11),21.58,0.1283970296,0.2871044863,0.0295221691,0.26210739583750015,17.5349856698,96,1
512234,512234 (2015 VO66),20.62,0.1997813652,0.4467247133,0.0888189701,0.3131831543347459,35.8740199736,118,1
512242,512242 (2015 XZ261),18.42,0.5502435705,1.2303820278,0.1024421582,0.13746744605555555,18.3572620158,9,0
513138,513138 (2002 CY58),21.05,0.1638909515,0.3664713084,0.0593041365,0.13870886571612906,15.4755828784,31,0
513181,513181 (2005 BS27),20.37,0.2241583786,0.5012333723,0.1504622831,0.17689331664736843,16.5039640943,19,0
513182,513182 (2005 CV38),20.34,0.2272767323,0.5082062231,0.2399693541,0.36135424141052636,19.1531269219,19,0
513489,513489 (2009 EV),20.12,0.2515098375,0.5623930936,0.1684350589,0.3148952147108695,24.4840070113,46,1
513497,513497 (2009 HB82),17.67,0.777239702,1.7379608086,0.2082236175,0.29668607206250003,18.9575625446,8,0
513529,513529 (2010 CR1),18.23,0.6005580277,1.3428885744,0.0706205735,0.11662081485833332,32.0313505791,12,0
514596,514596 (2003 FG),19.71,0.3037770614,0.6792661593,0.0399814109,0.12159574331111116,30.799457429,18,1
515446,515446 (2013 UG5),20.39,0.2221032822,0.4966380371,0.3000817235,0.3966350435652173,17.5272589955,46,0
